Token0 ID,Token0 Name,Token0 Symbol,Token0 Decimals,Token1 ID,Token1 Name,Token1 Symbol,Token1 Decimals,Uniswap Pool ID,Camelot Pool ID,Uniswap TVL (USD),Camelot TVL (USD),Uniswap Fee,Camelot Fee,Token0 to USDT Price,Token1 to USDT Price,ETH_USDT
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x912ce59144191c1204e64559fe8253a0e49e6548,Arbitrum,ARB,18,0x92c63d0e701caae670c9415d91c474f686298f00,0xe51635ae8136abac44906a8f230c2d235e9c195f,320503.6660991417,295486.791581156,3000,951,1559.4048992778946,0.2919833658279619,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x912ce59144191c1204e64559fe8253a0e49e6548,Arbitrum,ARB,18,0x92fd143a8fa0c84e016c2765648b9733b0aa519e,0xe51635ae8136abac44906a8f230c2d235e9c195f,83052.56456767388,295486.791581156,10000,951,1559.4048992778946,0.2919833658279619,
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,Wrapped BTC,WBTC,8,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x99dfc0126ed31e0169fc32db6b89adf9fee9a77e,0xd845f7d4f4deb9ff5bcf09d140ef13718f6f6c71,53113.24159052567,712160.437329059,10000,546,81935.79977561266,1559.4048992778946,
0x3d9907f9a368ad0a51be60f7da3b97cf940982d8,Camelot token,GRAIL,18,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0x9a4d078024ca4d757209e4f4459fe501558960fc,0x8cc8093218bcac8b1896a1eed4d925f6f6ab289f,487.885738,2356497.9754346465,10000,11436,425.8365552766343,1.000325374718902,
0x4d22e37eb4d71d1acc5f4889a65936d2a44a2f15,Hat,HAT,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x9fcbc372a15e96e85acf37c84c91da21da005398,0x17a38ed7dc83a5c7e12fd27b735b28c3f2566763,1133.2008903872722,10010.322493728452,10000,3007,0.0021533778713961737,1559.4048992778946,
0x35751007a407ca6feffe80b3cb397736d2cf4dbe,Wrapped eETH,weETH,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xa169d1ab5c948555954d38700a6cdaa7a4e0c3a0,0x293dfd996d5cd72bed712b0eeab96dbe400c0416,277906.07100490783,2816555.440136662,3000,50,1657.6688756573558,1559.4048992778946,
0x2416092f143378750bb29b79ed961ab195cceea5,Renzo Restaked ETH,ezETH,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xa245416e3bed0e60dd76ef400de7396fc3f4caa3,0xaa45265a94c93802be9511e426933239117e658f,48698.83716794719,357029.7541051358,10000,100,1624.2061712443374,1559.4048992778946,
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,Wrapped BTC,WBTC,8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0xa62ad78825e3a55a77823f00fe0050f567c1e4ee,0x9dc5708aaf0d45b12636c7ce2960e71a8ea210c8,9986.546898996769,73.16266550210277,3000,2361,81935.79977561266,1.000325374718902,
0x3082cc23568ea640225c2467653db90e9250aaa0,Radiant,RDNT,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xa8ba5f3ccfb8d2b7f4225e371cde11871e088933,0xd51f7383c906cfd995d7f24729f37933ff264fa6,325.8046897192499,3055.272233291476,10000,5190,0.06856356225293865,1559.4048992778946,
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,Wrapped BTC,WBTC,8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0xac70bd92f89e6739b3a08db9b6081a923912f73d,0x9dc5708aaf0d45b12636c7ce2960e71a8ea210c8,145856.8657093928,73.16266550210277,500,2361,81935.79977561266,1.000325374718902,
0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,Pendle,PENDLE,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xb08a8794a5d3ccca3725d92964696858d3201909,0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3,366740.45407324017,626524.0175774675,500,7006,3.3220772817742867,1559.4048992778946,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,GMX,18,0xb435ebfe0bf4ce66810aa4d44e3a5ca875d40db1,0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee,672.6907643020054,251220.17746131244,500,5692,1559.4048992778946,14.06168941279482,
0x6c2c06790b3e3e3c38e12ee22f8183b37a13ee55,Dopex Governance Token,DPX,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xb52781c275431bd48d290a4318e338fe0df89eb9,0x59a327d948db1810324a04d69cbe9fe9884f8f28,141.28166865303257,12610.091629626042,10000,3000,7.065278213765839,1559.4048992778946,
